Gene name,B number identifier,COG class,Molecular weight [kDa],Sequence length,Specific growth rate (h-1),0.21,0.31,0.41,0.51,0.22,0.26,0.36,0.46,0.51,0.22,0.25,0.35,0.45,0.55,0.65,0.74,0.82,0.22,0.42,0.53,0.63,0.73,0.78,,0.21,0.31,0.41,0.51,0.22,0.26,0.36,0.46,0.51,0.22,0.25,0.35,0.45,0.55,0.65,0.74,0.82,0.22,0.42,0.53,0.63,0.73,0.78
thra,b0002,[e],89.119,820,,2678.8649707078,3488.8810754078,4547.327733345,5470.0723681743,2699.9860296967,3132.1105721902,4021.7057474852,5126.8949789738,5651.2138851407,1472.6478174931,1736.1868719027,2379.8781228045,2861.061464639,3178.6951242307,3412.5586255306,3387.9297071703,3476.8087775744,1655.3308529945,2772.4522011203,3246.6808518049,3393.6672532137,3448.2972493313,3628.8321427544,,2196669.2759804,2860882.48183435,3728808.7413429,4485459.34190293,2213988.5443513,2568330.66919592,3297798.71293782,4204053.88275849,4633995.38581539,1207571.2103443,1423673.23496019,1951500.06069967,2346070.40100398,2606530.00186917,2798298.07293505,2778102.35987962,2850983.19761103,1357371.29945547,2273410.80491862,2662278.29847999,2782807.14763525,2827603.74445166,2975642.35705864
thrb,b0003,[e],33.623,310,,483.0550421658,605.6666574296,808.6377696475,1003.8662795248,516.4583669946,554.7553147368,776.6009196503,847.816827485,890.6624105842,295.9107401438,378.7715889719,417.3750421938,531.8596291273,593.6190889208,644.4516813289,670.8395436778,652.018283801,452.1838631882,553.2666580771,657.6211874337,703.7071009351,705.6320209633,758.5278278507,,149747.063071402,187756.663803171,250677.708590732,311198.546652678,160102.093768316,171974.147568396,240746.285091587,262823.216520357,276105.347281087,91732.3294445739,117419.192581274,129386.26308007,164876.485029462,184021.917565447,199780.021211966,207960.258540132,202125.667978322,140176.997588352,171512.664003897,203862.568104433,218149.201289896,218745.926498629,235143.626633713
thrc,b0004,[e],47.113,428,,4480.0565577454,5271.3733133654,6219.871408253,7689.8781914828,4463.8025540106,4856.2547149327,5820.5638918858,6908.6864200458,7523.2888847198,3198.9513587865,3487.4840166159,4028.3053274141,4556.3515695087,4974.289816188,5238.6857655932,5176.7344182933,4681.2549638171,3763.2305908295,4814.7098947253,5182.4492238565,5380.084979522,5407.442318872,5723.2648683368,,1917464.20671503,2256147.77812038,2662104.9627323,3291267.86595463,1910507.49311654,2078477.01799118,2491201.3457271,2956917.78777959,3219967.64266009,1369151.18156062,1492643.15911159,1724114.68013322,1950118.47174974,2128996.04132846,2242157.5076739,2215642.33102951,2003577.12451374,1610662.69287502,2060695.83494243,2218088.26781057,2302676.37123542,2314385.3124772,2449557.36364814
yaaa,b0006,[s],29.585,258,,177.4009533148,,,,,219.4827637015,,,208.5613940429,162.1210052703,240.8796205082,200.4654693965,,,,,,,180.9051926302,160.2582051393,169.9180226026,,183.9141000883,,45769.4459552145,0,0,0,0,56626.5530349816,0,0,53808.8396630621,41827.2193597359,62146.9420911064,51720.0911043079,0,0,0,0,0,0,46673.5396985914,41346.616925939,43838.849831472,0,47449.8378227713
talb,b0008,[g],35.219,317,,15678.3703858761,15830.9044925849,16228.3836222735,16650.6091302358,15145.2688196726,16126.0431162614,16072.6503558217,16283.6874222897,16855.6945987442,13765.0418709063,14355.9309658162,15864.4203962251,16399.3602178334,17757.4437215142,17533.8002150346,17027.3384684774,15791.2755051628,14517.3746180882,16534.8521750236,17354.6287302693,17387.6789530524,17311.7320339427,17102.4643917558,,4970043.41232273,5018396.72414943,5144397.6082607,5278243.09428475,4801050.21583621,5111955.66785487,5095030.16279549,5161928.91286585,5343255.18780192,4363518.27307731,4550830.11616372,5029021.26560335,5198597.18905318,5629109.65972,5558214.66816598,5397666.29450732,5005834.33513661,4602007.75393396,5241548.13948248,5501417.30749536,5511894.2281176,5487819.05475983,5421481.21218657
mog,b0009,[h],21.222,195,,,,,,95.5617441968,90.2763222361,,,72.7289427567,111.6164646473,,,,94.7390175936,,,,,,58.2868555561,,,,,0,0,0,0,18634.5401183756,17603.8828360439,0,0,14182.1438375609,21765.2106062291,0,0,0,18474.1084307482,0,0,0,0,0,11365.9368334327,0,0,0
dnak,b0014,[o],69.114,638,,12514.4650675623,11915.5800771589,11611.9614913853,11793.0833155618,12638.8034621028,12273.7654779301,11865.9301778375,12156.9741295893,12189.8034486142,13364.9110035184,13680.8980062544,14443.1046487428,14996.4163552906,14995.0624530675,14657.2839117309,14624.7741340115,13603.2607436787,13294.367374825,13895.7791442723,15492.5055729103,14920.9559623599,14611.9908828697,13881.1338243733,,7984228.71310476,7602140.08922737,7408431.43150381,7523987.15532841,8063556.60882158,7830662.37491939,7570463.45346031,7756149.49467797,7777094.60021584,8526813.22024471,8728412.92799032,9214700.76589793,9567713.63467538,9566849.84505706,9351347.13568433,9330605.89749937,8678880.35446704,8481806.38513832,8865507.09404576,9884218.55551679,9519569.90398562,9322450.18327084,8856163.37995014
dnaj,b0015,[o],41.1,376,,528.8076183042,537.247857876,514.770902425,526.887671504,543.5836408741,560.5939961979,557.5725665037,567.9097446306,557.8499453076,548.5066258588,519.9524851272,567.4688929239,560.7961788887,609.73612623,591.8593001135,558.9365207749,500.4076807671,581.1460255586,558.3225393873,621.9054654465,572.0634181397,549.9281248005,531.6721368437,,198831.664482389,202005.19456136,193553.859311806,198109.764485487,204387.448968678,210783.342570416,209647.285005401,213534.063981118,209751.579435652,206238.491322891,195502.134407827,213368.303739392,210859.363262162,229260.783462482,222539.096842679,210160.131811362,188153.287968413,218510.905610044,209929.27480961,233836.455007872,215095.845220515,206772.974924984,199908.72345324
rpst,b0023,[j],9.6843,87,,12378.2656367951,15223.1502005741,18028.9622684521,20864.5529798674,12700.6258892959,13526.4271078952,16281.8618812358,20196.5378817482,21033.5642979351,12883.7021729699,14371.3863087134,17385.8062575537,20106.7034443438,21688.3268528982,25964.4249453458,27047.7206420236,28179.4447828345,13665.5331998187,18338.0796470319,21719.6310558611,23844.5145412745,26345.5924244447,28361.9712823485,,1076909.11040117,1324414.06744994,1568519.71735533,1815216.10924846,1104954.45236874,1176799.15838688,1416521.98366752,1757098.79571209,1829920.09392036,1120882.08904838,1250310.60885807,1512565.14440718,1749283.19965791,1886884.43620215,2258904.97024509,2353151.69585605,2451611.69610661,1188901.38838422,1595412.92929177,1889607.90185992,2074472.76509088,2292066.54092669,2467491.50156432
ribf,b0025,[h],34.734,313,,,,,,713.1979516989,,,647.9438078726,649.5567366576,591.8357746831,,,,,,,,,,,,,744.4110373598,,0,0,0,0,223230.958881756,0,0,202806.411864122,203311.258573842,185244.597475821,0,0,0,0,0,0,0,0,0,0,0,0,233000.654693632
iles,b0026,[j],104.3,938,,1788.0091104938,1868.4509480762,1762.2184052409,1722.3992688398,1802.4986748029,1894.5511696029,1799.8118833597,1819.7602416516,1773.5784817144,1546.6611149219,1687.0228468079,1671.7722895031,1674.9895050881,1555.1546459101,1432.0460409201,1410.5766289461,1387.5932537694,1597.7543975245,1597.843650065,1586.0354705478,1443.3335651771,1382.4872911373,1388.4662468286,,1677152.54564314,1752606.98929545,1652960.86411592,1615610.51417173,1690743.75696511,1777088.99708751,1688223.54659136,1706935.10666922,1663616.61584811,1450768.12579673,1582427.43030576,1568122.40755386,1571140.15577261,1458735.05786366,1343259.18638307,1323120.87795144,1301562.47203567,1498693.62487797,1498777.34376095,1487701.27137379,1353846.88413609,1296773.07908676,1302381.33952522
fkpb,b0028,[o],16.081,149,,464.428843571,529.4187113939,529.9645038153,501.6990322677,495.9032064206,462.2030782047,523.5970683251,495.3661854329,462.8144653369,469.0978996579,414.9237096643,506.5759004116,476.4156272551,513.2564183243,494.1479147401,,365.9166903106,425.7941161921,491.356500189,528.1854237872,538.2698111388,563.6042344751,504.0393893811,,69199.8976920743,78883.3879976836,78964.7110684756,74753.1558078939,73889.5777566678,68868.2586525064,78015.9631804371,73809.5616295049,68959.3553351927,69895.5870490251,61823.6327399857,75479.8091613329,70985.9284610079,76475.2063303201,73628.0392962782,0,54521.5868562733,63443.3233126292,73212.1185281667,78699.6281442952,80202.2018596739,83977.0309367891,75101.8690177862
isph,b0029,[im],34.774,316,,154.0065352223,,144.8634741647,129.5470539244,,,,131.4455339532,144.4570828237,,,,,167.2709890139,141.7224470944,,,,,158.7515889616,,154.5990289053,154.8563177238,,48666.0651302517,0,45776.8578360308,40936.8690401258,0,0,0,41536.7887292173,45648.4381722809,0,0,0,0,52857.63252839,44784.2932818156,0,0,0,0,50165.5021118718,0,48853.2931340703,48934.5964007081
rihc,b0030,[f],32.56,304,,,,,,,72.1593909684,,,,56.6222437273,,,,,,,,,,71.7751497624,,26.5827849912,,,0,0,0,0,0,21936.4548543869,0,0,0,17213.1620931017,0,0,0,0,0,0,0,0,0,21819.6455277822,0,8081.1666373242,0
