"DATE_GR_PA_PAnewWindow;[2010,1,31,15,8,11]"	year	month	day	secs1970	dODdt_peak_start_time	dODdt_peak_max_time	dODdt_peak_finish_time	dODdt_max_val	GR_secs	PA_newWindow
11111__m__SCD;1;1;1	2010	1	31	1264896000	81479	112366	103692	-0.000559	-2209263.116	-0.089556
773-ML_M1_34__YAL051W__SCD;1;1;1	2010	1	31	1264896000	8671	9869	16124	0.334971	3708.279194	0.132159
774-ML_M1_34__YDL106C__SCD;1;1;1	2010	1	31	1264896000	6202	9869	14803	0.303557	4047.721306	0.164438
777-ML_M1_34__YDR169C__SCD;1;1;1	2010	1	31	1264896000	7399	8671	16124	0.284447	4381.941489	0.160362
68__YOR063W__SCD;1;1;1	2010	1	31	1264896000	7399	9869	16124	0.311312	4003.798011	4.217653
68__YOR063W__SCD;2;1;1	2010	1	31	1264896000	7399	12335	16124	0.299155	4166.498174	3.866817
782-ML_M1_34__YGL035C__SCD;1;1;1	2010	1	31	1264896000	8671	13604	17323	0.302455	4086.558629	0.186364
563__MSRFP__SCD;1;1;1	2010	1	31	1264896000	7399	12335	17323	0.281019	4414.292969	-0.037823
786-ML_M1_34__YHR124W__SCD;1;1;1	2010	1	31	1264896000	7399	8671	14803	0.350612	3519.56492	0.04051
787-ML_M1_34__YJL103C__SCD;1;1;1	2010	1	31	1264896000	7399	9869	14803	0.335359	3679.637824	0.007574
789-ML_M1_34__YKL038W__SCD;1;1;1	2010	1	31	1264896000	7399	9869	16124	0.314004	3969.47075	0.061144
790-ML_M1_34__YKR067W__SCD;1;1;1	2010	1	31	1264896000	7399	8671	14803	0.321058	3843.54785	0.014861
795-ML_M1_34__YLR451W__SCD;1;1;1	2010	1	31	1264896000	8671	9869	17323	0.323223	3823.989516	0.107539
796-ML_M1_34__YML051W__SCD;1;1;1	2010	1	31	1264896000	7399	8671	14803	0.316039	3904.579428	-0.035281
797-ML_M1_34__YML081W__SCD;1;1;1	2010	1	31	1264896000	8671	12335	17323	0.308253	4009.689776	0.023048
798-ML_M1_34__YMR280C__SCD;1;1;1	2010	1	31	1264896000	8671	13604	17323	0.301649	4097.481267	0.00863
803-ML_M1_34__YKL109W__SCD;1;1;1	2010	1	31	1264896000	8671	8671	16124	0.325599	3815.023998	0.18547
806-ML_M1_34__YDR259C__SCD;1;1;1	2010	1	31	1264896000	7399	12335	14803	0.366123	3370.454444	0.047654
813-ML_M1_34__YPL038W__SCD;1;1;1	2010	1	31	1264896000	7399	8671	14803	0.339778	3631.783714	0.006377
814-ML_M1_34__YKR034W__SCD;1;1;1	2010	1	31	1264896000	8671	11136	17323	0.324923	3803.981325	-0.046865
799-ML_M1_36__YOR344C__SCD;1;1;1	2010	1	31	1264896000	8671	9869	16124	0.336161	3695.154416	0.577781
820-ML_M1_34__YBR018C__SCD;1;1;1	2010	1	31	1264896000	7399	9869	16124	0.325255	3832.154852	-0.02472
825-ML_M1_34__YBR145W__SCD;1;1;1	2010	1	31	1264896000	8671	16124	17323	0.30836	4008.297106	0.141995
848-ML_M1_35__YDR272W__SCD;1;1;1	2010	1	31	1264896000	11136	14803	19791	0.297897	4150.517015	0.005093
827-ML_M1_34__YBR196C__SCD;1;1;1	2010	1	31	1264896000	9869	9869	18593	0.303003	4113.108789	0.940439
829-ML_M1_34__YBR221C__SCD;1;1;1	2010	1	31	1264896000	7399	8671	14803	0.355644	3469.765873	0.348125
834-ML_M1_34__YCR034W__SCD;1;1;1	2010	1	31	1264896000	7399	9869	14803	0.344682	3580.109562	0.515101
835-ML_M1_34__YCR036W__SCD;1;1;1	2010	1	31	1264896000	9869	13604	18593	0.31492	3957.466548	0.053532
838-ML_M1_34__YDL066W__SCD;1;1;1	2010	1	31	1264896000	7399	8671	14803	0.314257	3926.725309	0.055471
839-ML_M1_34__YDL078C__SCD;1;1;1	2010	1	31	1264896000	8671	11136	17323	0.311423	3968.874802	0.197812
842-ML_M1_34__YDL182W__SCD;1;1;1	2010	1	31	1264896000	8671	11136	17323	0.288891	4278.433313	2.640183
843-ML_M1_34__YDR001C__SCD;1;1;1	2010	1	31	1264896000	9869	12335	18593	0.297644	4187.174844	0.286675
846-ML_M1_34__YDR148C__SCD;1;1;1	2010	1	31	1264896000	7399	8671	14803	0.34221	3605.975992	0.379726
847-ML_M1_34__YDR178W__SCD;1;1;1	2010	1	31	1264896000	7399	9869	14803	0.357121	3455.414866	0.163435
851-ML_M1_34__YER003C__SCD;1;1;1	2010	1	31	1264896000	7399	8671	14803	0.339377	3636.078058	0.312336
853-ML_M1_34__YER178W__SCD;1;1;1	2010	1	31	1264896000	8671	11136	17323	0.31488	3925.305872	0.17806
854-ML_M1_34__YFL018C__SCD;1;1;1	2010	1	31	1264896000	7399	11136	16124	0.32531	3831.506697	0.365237
856-ML_M1_34__YFR015C__SCD;1;1;1	2010	1	31	1264896000	8671	11136	17323	0.314812	3926.157739	0.12696
860-ML_M1_35__YGL256W__SCD;1;1;1	2010	1	31	1264896000	9869	14803	18593	0.314447	3963.426177	-0.043478
862-ML_M1_34__YGR043C__SCD;1;1;1	2010	1	31	1264896000	7399	12335	16124	0.302438	4121.271055	0.041306
865-ML_M1_34__YGR192C__SCD;1;1;1	2010	1	31	1264896000	7399	9869	14803	0.338714	3643.191591	8.727194
866-ML_M1_34__YGR193C__SCD;1;1;1	2010	1	31	1264896000	7399	9869	14803	0.349065	3535.158519	0.194505
867-ML_M1_34__YGR248W__SCD;1;1;1	2010	1	31	1264896000	6202	8671	13604	0.32581	3786.456119	0.208566
966-ML_M3_34__YBR298C__SCD;1;1;1	2010	1	31	1264896000	8671	9869	17323	0.325083	3802.109537	-0.051229
967-ML_M3_34__YCL035C__SCD;1;1;1	2010	1	31	1264896000	7399	9869	14803	0.335266	3680.658846	0.295302
970-ML_M3_34__YCR073W-A__SCD;1;1;1	2010	1	31	1264896000	8671	9869	17323	0.328215	3765.820991	0.011523
971-ML_M3_34__YDL004W__SCD;1;1;1	2010	1	31	1264896000	7399	14803	16124	0.294011	4239.391251	0.314044
973-ML_M3_34__YDL067C__SCD;1;1;1	2010	1	31	1264896000	7399	13604	16124	0.296644	4201.76894	0.13024
976-ML_M3_34__YDL178W__SCD;1;1;1	2010	1	31	1264896000	7399	8671	14803	0.339467	3635.1148	0.078596
977-ML_M3_34__YDL181W__SCD;1;1;1	2010	1	31	1264896000	8671	9869	16124	0.347777	3571.732205	0.222075
979-ML_M3_34__YDL247W__SCD;1;1;1	2010	1	31	1264896000	7399	9869	16124	0.326282	3820.101809	-0.031846
980-ML_M3_34__YDR035W__SCD;1;1;1	2010	1	31	1264896000	7399	8671	14803	0.320019	3856.024835	0.788607
981-ML_M3_34__YDR111C__SCD;1;1;1	2010	1	31	1264896000	8671	9869	16124	0.339062	3663.536738	0.049943
982-ML_M3_34__YDR298C__SCD;1;1;1	2010	1	31	1264896000	7399	9869	16124	0.320275	3891.750855	0.170836
983-ML_M3_34__YDR322C-A__SCD;1;1;1	2010	1	31	1264896000	9869	17323	18593	0.293067	4252.556134	0.30728
987-ML_M3_34__YEL046C__SCD;1;1;1	2010	1	31	1264896000	8671	13604	17323	0.288785	4280.007658	2.276421
989-ML_M3_34__YEL051W__SCD;1;1;1	2010	1	31	1264896000	7399	8671	14803	0.349141	3534.384788	0.039916
992-ML_M3_34__YER065C__SCD;1;1;1	2010	1	31	1264896000	7399	9869	16124	0.326505	3817.487333	0.059588
993-ML_M3_34__YER099C__SCD;1;1;1	2010	1	31	1264896000	7399	12335	16124	0.32274	3862.024229	0.031099
994-ML_M3_34__YER174C__SCD;1;1;1	2010	1	31	1264896000	8671	8671	16124	0.306018	4059.134367	0.374495
995-ML_M3_34__YFL001W__SCD;1;1;1	2010	1	31	1264896000	7399	13604	16124	0.316182	3942.127284	-0.015347
997-ML_M3_34__YFL053W__SCD;1;1;1	2010	1	31	1264896000	8671	13604	17323	0.316367	3906.859417	-0.018602
998-ML_M3_34__YGL187C__SCD;1;1;1	2010	1	31	1264896000	8671	13604	17323	0.309462	3994.024803	0.269728
999-ML_M3_34__YGL202W__SCD;1;1;1	2010	1	31	1264896000	9869	13604	18593	0.307076	4058.552859	0.435974
1003-ML_M3_34__YGR183C__SCD;1;1;1	2010	1	31	1264896000	7399	8671	14803	0.330817	3730.155195	0.764507
1005-ML_M3_34__YGR289C__SCD;1;1;1	2010	1	31	1264896000	6202	8671	13604	0.355721	3468.069154	0.076464
1010-ML_M3_34__YHR137W__SCD;1;1;1	2010	1	31	1264896000	8671	9869	16124	0.334261	3716.154073	0.001625
1012-ML_M3_34__YIL111W__SCD;1;1;1	2010	1	31	1264896000	7399	9869	16124	0.321033	3882.556161	0.087592
1013-ML_M3_34__YIL160C__SCD;1;1;1	2010	1	31	1264896000	7399	9869	14803	0.341417	3614.348904	-0.030293
1015-ML_M3_34__YIR037W__SCD;1;1;1	2010	1	31	1264896000	9869	12335	18593	0.319318	3902.95527	0.142842
1016-ML_M3_34__YJL068C__SCD;1;1;1	2010	1	31	1264896000	8671	11136	17323	0.313115	3947.425532	0.205766
1019-ML_M3_34__YJR016C__SCD;1;1;1	2010	1	31	1264896000	8671	13604	17323	0.296176	4173.200394	0.721251
1020-ML_M3_34__YJR095W__SCD;1;1;1	2010	1	31	1264896000	7399	7399	14803	0.313751	3933.05625	0.042662
1021-ML_M3_34__YJR121W__SCD;1;1;1	2010	1	31	1264896000	7399	8671	14803	0.354583	3480.148693	0.676095
857-ML_M1_35__YFR053C__SCD;1;1;1	2010	1	31	1264896000	7399	8671	14803	0.328496	3756.516112	1.236627
1026-ML_M3_34__YKL067W__SCD;1;1;1	2010	1	31	1264896000	7399	8671	14803	0.293989	4197.430681	0.416495
1030-ML_M3_34__YKL192C__SCD;1;1;1	2010	1	31	1264896000	8671	9869	16124	0.33722	3683.554499	0.297215
1033-ML_M3_34__YKL218C__SCD;1;1;1	2010	1	31	1264896000	8671	16124	17323	0.316998	3899.07719	0.050551
1035-ML_M3_34__YKR066C__SCD;1;1;1	2010	1	31	1264896000	11136	14803	19791	0.307806	4016.903177	0.177423
1037-ML_M3_34__YLR038C__SCD;1;1;1	2010	1	31	1264896000	12335	16124	21060	0.289965	4298.554617	0.374293
1038-ML_M3_34__YLR089C__SCD;1;1;1	2010	1	31	1264896000	8671	8671	16124	0.350145	3547.573641	0.416352
1039-ML_M3_34__YLR189C__SCD;1;1;1	2010	1	31	1264896000	8671	9869	16124	0.34384	3612.634985	0.110306
1040-ML_M3_34__YLR209C__SCD;1;1;1	2010	1	31	1264896000	8671	14803	17323	0.312866	3950.571997	-0.030461
1041-ML_M3_34__YLR284C__SCD;1;1;1	2010	1	31	1264896000	7399	9869	16124	0.305865	4075.095933	-0.008253
1043-ML_M3_34__YLR359W__SCD;1;1;1	2010	1	31	1264896000	7399	8671	14803	0.328149	3760.488324	0.598497
1046-ML_M3_34__YML126C__SCD;1;1;1	2010	1	31	1264896000	7399	9869	16124	0.310921	4008.822197	-0.050467
1047-ML_M3_34__YMR020W__SCD;1;1;1	2010	1	31	1264896000	8671	12335	17323	0.308501	4006.47318	-0.038579
1048-ML_M3_34__YMR226C__SCD;1;1;1	2010	1	31	1264896000	8671	13604	17323	0.298449	4141.415606	0.126732
563__MSRFP__SCD;2;1;1	2010	1	31	1264896000	7399	9869	14803	0.333739	3697.49939	0.065348
68__YOR063W__SCD;3;1;1	2010	1	31	1264896000	7399	8671	14803	0.330747	3730.952763	4.788864
68__YOR063W__SCD;4;1;1	2010	1	31	1264896000	7399	9869	16124	0.292446	4262.086367	4.387917
1054-ML_M3_34__YNL292W__SCD;1;1;1	2010	1	31	1264896000	8671	14803	17323	0.293039	4217.874155	-0.017988
1057-ML_M3_34__YOL061W__SCD;1;1;1	2010	1	31	1264896000	7399	8671	14803	0.310362	3976.006934	0.133957
564__MSYFP__SCD;1;1;1	2010	1	31	1264896000	7399	8671	14803	0.293795	4200.2078	-0.064533
564__MSYFP__SCD;2;1;1	2010	1	31	1264896000	7399	8671	14803	0.297489	4148.054045	-0.007725
11111__m__SCD;2;1;1	2010	1	31	1264896000	81479	112366	103692	-0.000559	-2209263.116	0.014971
11111__m__SCD;1;1;2	2010	2	3	1265155200	58029	58029	118482	0.007866	156850.181	0.125866
817-ML_M1_34__YAL060W__SCD;1;1;2	2010	2	3	1265155200	13601	16069	22205	0.288789	4256.199698	0.377893
826-ML_M1_34__YBR184W__SCD;1;1;2	2010	2	3	1265155200	13601	14800	23474	0.279415	4416.821	0.010853
784-ML_M1_34__YHL027W__SCD;1;1;2	2010	2	3	1265155200	12332	14800	22205	0.276835	4457.972347	0.304107
822-ML_M1_34__YBR020W__SCD;1;1;2	2010	2	3	1265155200	11133	18535	21004	0.270893	4554.848894	-0.00235
837-ML_M1_34__YDL055C__SCD;1;1;2	2010	2	3	1265155200	14800	17267	24671	0.2759	4472.183705	2.158534
775-ML_M1_35__YDL170W__SCD;1;1;2	2010	2	3	1265155200	12332	18535	22205	0.267981	4605.273972	0.091008
563__MSRFP__SCD;1;1;2	2010	2	3	1265155200	13601	16069	22205	0.285055	4311.953	-0.005275
778-ML_M1_35__YDR207C__SCD;1;1;2	2010	2	3	1265155200	12332	14800	21004	0.306171	4046.293793	0.075737
807-ML_M1_35__YMR042W__SCD;1;1;2	2010	2	3	1265155200	14800	16069	23474	0.291518	4250.662599	0.148697
809-ML_M1_35__YJR127C__SCD;1;1;2	2010	2	3	1265155200	13601	16069	22205	0.298092	4123.364193	0.007625
68__YOR063W__SCD;1;1;2	2010	2	3	1265155200	13601	16069	23474	0.275229	4483.989815	2.991927
811-ML_M1_35__YBR150C__SCD;1;1;2	2010	2	3	1265155200	12332	14800	21004	0.288618	4292.374775	0.045461
812-ML_M1_35__YIR017C__SCD;1;1;2	2010	2	3	1265155200	13601	16069	22205	0.285833	4300.206264	0.013668
824-ML_M1_36__YBR126C__SCD;1;1;2	2010	2	3	1265155200	13601	16069	23474	0.274905	4489.270509	0.16178
828-ML_M1_35__YBR218C__SCD;1;1;2	2010	2	3	1265155200	13601	17267	22205	0.283954	4328.67364	0.27779
841-ML_M1_35__YDL168W__SCD;1;1;2	2010	2	3	1265155200	11133	13601	19735	0.309087	3975.760605	0.349195
855-ML_M1_35__YFL045C__SCD;1;1;2	2010	2	3	1265155200	13601	16069	22205	0.290492	4231.250224	0.580864
861-ML_M1_35__YGR032W__SCD;1;1;2	2010	2	3	1265155200	11133	16069	19735	0.297042	4136.976963	0.256439
831-ML_M1_36__YCL040W__SCD;1;1;2	2010	2	3	1265155200	13601	16069	22205	0.296875	4140.267187	0.508478
953-ML_M2_34__YGR240C__SCD;1;1;2	2010	2	3	1265155200	11133	16069	19735	0.297638	4128.698764	0.879278
903-ML_M2_35__YLR044C__SCD;1;1;2	2010	2	3	1265155200	13601	16069	22205	0.287005	4282.654536	5.024533
942-ML_M2_35__YPL262W__SCD;1;1;2	2010	2	3	1265155200	12332	16069	22205	0.278779	4426.888864	0.090292
876-ML_M2_36__YHR183W__SCD;1;1;2	2010	2	3	1265155200	12332	18535	21004	0.286844	4318.929444	1.180333
878-ML_M2_36__YIL125W__SCD;1;1;2	2010	2	3	1265155200	9867	16069	18535	0.318659	3885.921552	0.18245
883-ML_M2_36__YJL121C__SCD;1;1;2	2010	2	3	1265155200	13601	16069	22205	0.292451	4202.90028	0.130133
894-ML_M2_36__YKL060C__SCD;1;1;2	2010	2	3	1265155200	13601	16069	22205	0.287489	4275.439166	3.732531
905-ML_M2_36__YLR153C__SCD;1;1;2	2010	2	3	1265155200	13601	14800	23474	0.260399	4739.354332	0.81514
949-ML_M2_36__YPR159W__SCD;1;1;2	2010	2	3	1265155200	12332	16069	21004	0.297553	4163.480277	0.301384
961-ML_M2_36__YBL068W__SCD;1;1;2	2010	2	3	1265155200	13601	16069	22205	0.28716	4280.339129	0.113446
935-ML_M2_36__YOL151W__SCD;1;1;2	2010	2	3	1265155200	13601	18535	23474	0.275763	4475.313957	0.155313
1014-ML_M3_34__YIL168W__SCD;1;1;2	2010	2	3	1265155200	12332	17267	22205	0.273264	4516.244733	0.080688
1025-ML_M3_34__YKL016C__SCD;1;1;2	2010	2	3	1265155200	11133	16069	19735	0.315848	3890.658866	0.549141
968-ML_M3_34__YCL064C__SCD;1;1;2	2010	2	3	1265155200	12332	16069	21004	0.288685	4291.38322	1.678076
969-ML_M3_34__YCR010C__SCD;1;1;2	2010	2	3	1265155200	13601	16069	22205	0.285747	4301.511339	0.004325
972-ML_M3_34__YDL040C__SCD;1;1;2	2010	2	3	1265155200	14800	17267	24671	0.257678	4788.432475	0.08233
985-ML_M3_34__YDR513W__SCD;1;1;2	2010	2	3	1265155200	9867	17267	19735	0.276263	4464.946108	0.155608
991-ML_M3_34__YEL071W__SCD;1;1;2	2010	2	3	1265155200	11133	18535	21004	0.278658	4427.919129	0.437074
1001-ML_M3_34__YGR020C__SCD;1;1;2	2010	2	3	1265155200	11133	16069	21004	0.281985	4375.67321	0.343587
1036-ML_M3_34__YLR027C__SCD;1;1;2	2010	2	3	1265155200	13601	18535	23474	0.268751	4592.080723	0.495704
974-ML_M3_35__YDL085W__SCD;1;1;2	2010	2	3	1265155200	9867	13601	18535	0.311167	3979.49294	0.026003
984-ML_M3_35__YDR345C__SCD;1;1;2	2010	2	3	1265155200	12332	16069	22205	0.278956	4424.091999	0.949378
986-ML_M3_35__YEL024W__SCD;1;1;2	2010	2	3	1265155200	9867	11133	18535	0.30346	4080.561773	0.332968
1008-ML_M3_35__YHR092C__SCD;1;1;2	2010	2	3	1265155200	12332	14800	22205	0.272705	4525.49909	0.169241
1011-ML_M3_35__YHR208W__SCD;1;1;2	2010	2	3	1265155200	13601	13601	22205	0.287534	4274.773295	0.334514
1017-ML_M3_35__YJL155C__SCD;1;1;2	2010	2	3	1265155200	13601	16069	23474	0.27319	4517.452577	0.024567
1022-ML_M3_35__YJR148W__SCD;1;1;2	2010	2	3	1265155200	12332	16069	22205	0.280115	4405.78329	0.517332
1027-ML_M3_35__YKL106W__SCD;1;1;2	2010	2	3	1265155200	13601	14800	23474	0.268751	4592.072294	0.025399
1029-ML_M3_34__YKL182W__SCD;1;1;2	2010	2	3	1265155200	11133	14800	19735	0.308794	3979.535125	0.895526
1045-ML_M3_35__YML120C__SCD;1;1;2	2010	2	3	1265155200	2465	2465	9867	0.184563	6684.254231	0.208303
1051-ML_M3_35__YNL052W__SCD;1;1;2	2010	2	3	1265155200	9867	16069	18535	0.286444	4322.951709	0.286924
68__YOR063W__SCD;2;1;2	2010	2	3	1265155200	11133	16069	19735	0.292448	4201.966226	3.938281
1056-ML_M3_35__YOL049W__SCD;1;1;2	2010	2	3	1265155200	9867	16069	18535	0.29677	4172.544429	0.095769
988-ML_M3_36__YEL047C__SCD;1;1;2	2010	2	3	1265155200	13601	18535	23474	0.279569	4414.391799	0.170568
1000-ML_M3_36__YGL225W__SCD;1;1;2	2010	2	3	1265155200	11133	16069	19735	0.285241	4308.129707	0.44262
1028-ML_M3_36__YKL120W__SCD;1;1;2	2010	2	3	1265155200	12332	18535	22205	0.27194	4538.229944	0.161247
1052-ML_M3_36__YNL104C__SCD;1;1;2	2010	2	3	1265155200	12332	16069	21004	0.307177	4033.043697	0.304374
68__YOR063W__SCD;3;1;2	2010	2	3	1265155200	14800	16069	23474	0.28983	4275.414192	3.011491
1059-ML_M3_36__YOR040W__SCD;1;1;2	2010	2	3	1265155200	12332	16069	21004	0.294274	4209.874026	0.005136
1018-ML_M3_36__YJL212C__SCD;1;1;2	2010	2	3	1265155200	13601	16069	23474	0.272958	4521.294909	0.17163
1127-ML_M4_34__YGR282C__SCD;1;1;2	2010	2	3	1265155200	9867	16069	18535	0.289221	4281.45807	0.731645
788-ML_M4_34__YJL110C__SCD;1;1;2	2010	2	3	1265155200	13601	16069	23474	0.278155	4436.831061	0.213794
801-ML_M4_34__YPR065W__SCD;1;1;2	2010	2	3	1265155200	12332	16069	22205	0.274365	4498.1161	0.273707
802-ML_M4_34__YPR196W__SCD;1;1;2	2010	2	3	1265155200	2465	2465	11133	0.166203	7450.439536	-0.060518
821-ML_M4_34__YBR019C__SCD;1;1;2	2010	2	3	1265155200	12332	16069	21004	0.305325	4057.505414	0.031253
830-ML_M4_34__YBR299W__SCD;1;1;2	2010	2	3	1265155200	13601	17267	22205	0.293787	4183.789925	0.018274
832-ML_M4_34__YCR005C__SCD;1;1;2	2010	2	3	1265155200	13601	16069	22205	0.285307	4308.140009	1.059437
1068-ML_M4_34__YPL271W__SCD;1;1;2	2010	2	3	1265155200	13601	16069	22205	0.291394	4218.152883	0.405887
1084-ML_M4_34__YCR032W__SCD;1;1;2	2010	2	3	1265155200	11133	13601	19735	0.293321	4189.45718	0.026222
800-ML_M4_35__YPL248C__SCD;1;1;2	2010	2	3	1265155200	13601	16069	23474	0.274429	4497.061513	0.0188
816-ML_M4_35__YBL015W__SCD;1;1;2	2010	2	3	1265155200	13601	16069	22205	0.289036	4252.558968	0.124591
1061-ML_M4_35__YOR142W__SCD;1;1;2	2010	2	3	1265155200	12332	17267	22205	0.277638	4445.088481	0.247266
1080-ML_M4_35__YML086C__SCD;1;1;2	2010	2	3	1265155200	12332	13601	21004	0.302889	4090.133366	0.122231
1082-ML_M4_35__YMR307W__SCD;1;1;2	2010	2	3	1265155200	13601	16069	22205	0.290666	4228.712188	2.044703
1090-ML_M4_35__YPL234C__SCD;1;1;2	2010	2	3	1265155200	13601	17267	22205	0.293974	4181.125885	0.280613
1094-ML_M4_35__YGR244C__SCD;1;1;2	2010	2	3	1265155200	12332	17267	22205	0.271449	4546.426515	0.291072
1095-ML_M4_35__YMR054W__SCD;1;1;2	2010	2	3	1265155200	9867	16069	18535	0.303149	4084.743826	0.016924
1103-ML_M4_35__YNR012W__SCD;1;1;2	2010	2	3	1265155200	13601	16069	23474	0.267746	4609.308181	0.003938
1110-ML_M4_35__YGL191W__SCD;1;1;2	2010	2	3	1265155200	13601	16069	22205	0.284729	4316.881316	0.28638
1113-ML_M4_35__YBR149W__SCD;1;1;2	2010	2	3	1265155200	13601	17267	23474	0.27458	4494.595741	0.199917
1122-ML_M4_35__YKL181W__SCD;1;1;2	2010	2	3	1265155200	9867	16069	18535	0.325058	3809.429981	0.204995
1123-ML_M4_35__YNL129W__SCD;1;1;2	2010	2	3	1265155200	13601	16069	22205	0.289696	4242.866762	0.100217
785-ML_M4_35__YHR006W__SCD;1;1;2	2010	2	3	1265155200	11133	16069	19735	0.297507	4130.509011	0.158041
1098-ML_M4_35__YAL044C__SCD;1;1;2	2010	2	3	1265155200	11133	16069	19735	0.289936	4238.367519	0.134925
1075-ML_M4_36__YBR127C__SCD;1;1;2	2010	2	3	1265155200	12332	14800	21004	0.290844	4259.527312	0.393601
1100-ML_M4_36__YIL162W__SCD;1;1;2	2010	2	3	1265155200	14800	17267	24671	0.265386	4649.358853	0.003117
1101-ML_M4_36__YML070W__SCD;1;1;2	2010	2	3	1265155200	13601	16069	23474	0.276968	4455.839896	0.031644
68__YOR063W__SCD;4;1;2	2010	2	3	1265155200	12332	14800	22205	0.269466	4579.888452	3.265475
563__MSRFP__SCD;2;1;2	2010	2	3	1265155200	13601	16069	22205	0.297782	4127.66541	0.005413
1118-ML_M4_36__YDR342C__SCD;1;1;2	2010	2	3	1265155200	9867	16069	18535	0.287997	4299.642436	1.350793
1119-ML_M4_36__YOR270C__SCD;1;1;2	2010	2	3	1265155200	11133	16069	19735	0.296573	4143.518644	0.419892
1072-ML_M4_36__YOR065W__SCD;1;1;2	2010	2	3	1265155200	13601	21004	22205	0.285412	4306.552822	0.310804
1114-ML_M4_36__YDR098C__SCD;1;1;2	2010	2	3	1265155200	12332	14800	22205	0.282113	4374.574612	0.021126
564__MSYFP__SCD;1;1;2	2010	2	3	1265155200	12332	16069	22205	0.274146	4501.710894	0.015661
564__MSYFP__SCD;2;1;2	2010	2	3	1265155200	12332	21004	22205	0.277581	4446.004595	0.013161
11111__m__SCD;2;1;2	2010	2	3	1265155200	58029	58029	118482	0.007866	156850.181	-0.089025
11111__m__SCD;1;2;2	2010	2	3	1265155200	34544	34544	45675	0.138798	8910.609914	4.910948
817-ML_M1_34__YAL060W__SCD;1;2;2	2010	2	3	1265155200	14801	20991	23461	0.301454	4103.917622	0.325769
826-ML_M1_34__YBR184W__SCD;1;2;2	2010	2	3	1265155200	13587	16056	23461	0.277187	4452.767118	-0.002571
784-ML_M1_34__YHL027W__SCD;1;2;2	2010	2	3	1265155200	13587	18522	23461	0.278675	4429.0016	0.222033
822-ML_M1_34__YBR020W__SCD;1;2;2	2010	2	3	1265155200	13587	20991	23461	0.25579	4825.24973	0.002648
837-ML_M1_34__YDL055C__SCD;1;2;2	2010	2	3	1265155200	13587	17268	23461	0.260156	4744.273706	1.971673
775-ML_M1_35__YDL170W__SCD;1;2;2	2010	2	3	1265155200	13587	20991	23461	0.260275	4742.097027	0.073721
563__MSRFP__SCD;1;2;2	2010	2	3	1265155200	13587	20991	23461	0.26156	4718.808008	-0.007782
778-ML_M1_35__YDR207C__SCD;1;2;2	2010	2	3	1265155200	11120	14801	19736	0.293146	4198.791118	0.115684
807-ML_M1_35__YMR042W__SCD;1;2;2	2010	2	3	1265155200	13587	18522	23461	0.271045	4553.665758	0.128025
809-ML_M1_35__YJR127C__SCD;1;2;2	2010	2	3	1265155200	12332	16056	22205	0.281094	4390.440866	0.001801
68__YOR063W__SCD;1;2;2	2010	2	3	1265155200	13587	16056	23461	0.27814	4437.511369	3.042335
811-ML_M1_35__YBR150C__SCD;1;2;2	2010	2	3	1265155200	13587	16056	22205	0.28741	4283.570194	0.050642
812-ML_M1_35__YIR017C__SCD;1;2;2	2010	2	3	1265155200	13587	16056	23461	0.276257	4467.761279	0.010558
824-ML_M1_36__YBR126C__SCD;1;2;2	2010	2	3	1265155200	13587	16056	23461	0.266788	4626.331745	0.123779
828-ML_M1_35__YBR218C__SCD;1;2;2	2010	2	3	1265155200	14801	17268	24672	0.269217	4583.203826	0.223559
841-ML_M1_35__YDL168W__SCD;1;2;2	2010	2	3	1265155200	13587	17268	22205	0.290317	4240.679912	0.2633
855-ML_M1_35__YFL045C__SCD;1;2;2	2010	2	3	1265155200	14801	17268	25928	0.24448	5057.001615	0.381381
861-ML_M1_35__YGR032W__SCD;1;2;2	2010	2	3	1265155200	13587	18522	23461	0.269137	4585.950503	0.187758
831-ML_M1_36__YCL040W__SCD;1;2;2	2010	2	3	1265155200	13587	17268	23461	0.276385	4465.688558	0.385837
953-ML_M2_34__YGR240C__SCD;1;2;2	2010	2	3	1265155200	12332	16056	22205	0.272621	4526.886315	0.671428
903-ML_M2_35__YLR044C__SCD;1;2;2	2010	2	3	1265155200	13587	17268	24672	0.242846	5071.797466	3.319149
942-ML_M2_35__YPL262W__SCD;1;2;2	2010	2	3	1265155200	13587	16056	23461	0.271733	4542.135805	0.064705
876-ML_M2_36__YHR183W__SCD;1;2;2	2010	2	3	1265155200	13587	17268	23461	0.262211	4707.080175	0.987443
878-ML_M2_36__YIL125W__SCD;1;2;2	2010	2	3	1265155200	11120	17268	19736	0.299422	4110.776908	0.156709
883-ML_M2_36__YJL121C__SCD;1;2;2	2010	2	3	1265155200	13587	16056	22205	0.288641	4265.312248	0.121401
894-ML_M2_36__YKL060C__SCD;1;2;2	2010	2	3	1265155200	12332	16056	22205	0.270077	4569.52363	3.520076
905-ML_M2_36__YLR153C__SCD;1;2;2	2010	2	3	1265155200	13587	22205	24672	0.245441	5018.185551	0.837684
949-ML_M2_36__YPR159W__SCD;1;2;2	2010	2	3	1265155200	14801	16056	24672	0.268917	4588.307148	0.217137
961-ML_M2_36__YBL068W__SCD;1;2;2	2010	2	3	1265155200	13587	16056	23461	0.26449	4666.536646	0.084382
